season,club,competition_scope,league,appearances,goals,assists,trophies_won,approx_age
2004-05,FC Barcelona,All competitions,La Liga,9,1,0,1,18
2005-06,FC Barcelona,All competitions,La Liga,25,8,2,2,19
2006-07,FC Barcelona,All competitions,La Liga,36,17,7,0,20
2007-08,FC Barcelona,All competitions,La Liga,40,16,9,0,21
2008-09,FC Barcelona,All competitions,La Liga,51,38,18,3,22
2009-10,FC Barcelona,All competitions,La Liga,53,47,11,2,23
2010-11,FC Barcelona,All competitions,La Liga,55,53,24,3,24
2011-12,FC Barcelona,All competitions,La Liga,60,73,29,2,25
2012-13,FC Barcelona,All competitions,La Liga,50,60,12,1,26
2013-14,FC Barcelona,All competitions,La Liga,46,41,16,0,27
2014-15,FC Barcelona,All competitions,La Liga,57,58,27,3,28
2015-16,FC Barcelona,All competitions,La Liga,49,41,18,2,29
2016-17,FC Barcelona,All competitions,La Liga,52,54,16,0,30
2017-18,FC Barcelona,All competitions,La Liga,54,45,18,2,31
2018-19,FC Barcelona,All competitions,La Liga,50,51,19,2,32
2019-20,FC Barcelona,All competitions,La Liga,44,31,25,1,33
2020-21,FC Barcelona,All competitions,La Liga,47,38,14,1,34
2021-22,Paris Saint-Germain,All competitions,Ligue 1,34,11,15,1,35
2022-23,Paris Saint-Germain,All competitions,Ligue 1,41,21,20,1,36
2023,Inter Miami CF,All competitions,MLS,14,11,5,1,36
2024,Inter Miami CF,All competitions,MLS,32,20,16,1,37
2025,Inter Miami CF,All competitions,MLS,28,27,15,2,38
2026,Inter Miami CF,All competitions,MLS,20,18,9,0,39
