year,tournament,result,appearances,goals,assists,individual_award
2005,Senior debut / early caps,-,4,0,0,
2006,FIFA World Cup,Quarter-final,3,1,0,
2007,Copa America,Runner-up,6,2,1,
2010,FIFA World Cup,Quarter-final,5,0,0,
2011,Copa America,Quarter-final,4,0,0,
2014,FIFA World Cup,Runner-up,7,4,1,Golden Ball
2015,Copa America,Runner-up,6,1,1,
2016,Copa America Centenario,Runner-up,5,5,4,
2018,FIFA World Cup,Round of 16,4,1,1,
2019,Copa America,Third place,5,1,1,
2021,Copa America,Champion,7,4,5,Player of the Tournament
2022,FIFA World Cup,Champion,7,7,3,Golden Ball
2024,Copa America,Champion,4,0,1,
2026,FIFA World Cup,Runner-up,7,8,2,
